课程名称,课程代码,课程类别,授课语言,授课教师,计分方式,学分,上课信息,容量/已选,开课学院
基础法语,CLE051,通识选修课-外语类,英文,MIGUEL ANGEL MARQUEZ MARTINEZ,二级制,2.0,"1-16周,星期二第5-6节 一教303",25/13,语言中心
基础法语,CLE051,通识选修课-外语类,英文,MIGUEL ANGEL MARQUEZ MARTINEZ,二级制,2.0,"1-16周,星期二第7-8节 一教303",25/12,语言中心
欧洲语言与文化,CLE067,通识选修课-外语类,英文,MIGUEL ANGEL MARQUEZ MARTINEZ,二级制,2.0,"1-16周,星期三第5-6节 一教303",25/5,语言中心
欧洲语言与文化,CLE067,通识选修课-外语类,英文,MIGUEL ANGEL MARQUEZ MARTINEZ,二级制,2.0,"1-16周,星期三第7-8节 一教303",25/6,语言中心
English for Real-world Financial Communication,CLE071,通识选修课-外语类,英文,MIGUEL ANGEL MARQUEZ MARTINEZ,二级制,2.0,"1-16周,星期五第3-4节 一教303",25/3,语言中心
English for Real-world Financial Communication,CLE071,通识选修课-外语类,英文,MIGUEL ANGEL MARQUEZ MARTINEZ,二级制,2.0,"1-16周,星期五第5-6节 一教303",25/3,语言中心
生活中的运筹学,EBA104,通识选修课-社科类,双语,何英,二级制,2.0,"1-16周,星期三第7-8节 商学院208",50/21,商学院
管理学,EBA106,通识选修课-专业导论类,英文,罗源昆,十三级制,3.0,"1-16周,星期二第5-6节 商学院208; 1-15单周,星期四第9-10节 商学院208",30/0,信息系统与管理工程系
人工智能时代的电子信息科学技术,EE111,通识选修课-专业导论类,双语,孟庆虎,十三级制,1.0,"2-16双周,星期五第3-4节 智华楼107",100/4,电子与电气工程系
全球气候变化,ESE319,通识选修课-专业导论类,双语,曾振中,十三级制,3.0,"1-16周,星期二第5-6节 一教227; 1-15单周,星期四第9-10节 一教227",50/2,环境科学与工程学院
极地探索,ESS104,通识选修课-专业导论类,双语,李斐,十三级制,2.0,"1-16周,星期五第5-6节 商学院209",40/6,地球与空间科学系
自然灾害学,ESS208,通识选修课-专业导论类,双语,韩鹏,十三级制,2.0,"1-16周,星期五第9-10节 智华楼301",30/1,地球与空间科学系
金融学,FIN102,通识选修课-专业导论类,双语,王赫,十三级制,3.0,"1-16周,星期一第9-11节 商学院104",70/8,金融系
心理学,GE1221,通识选修课-社科类,中文,孙志凤,十三级制,2.0,"1-16周,星期一第9-10节 一教425",50/4,马克思主义学院
心理学,GE1221,通识选修课-社科类,中文,孙志凤,十三级制,2.0,"1-16周,星期二第5-6节 一教425",50/3,马克思主义学院
人格塑造十五讲,GEJ013,通识选修课-社科类,中文,孙志凤,十三级制,2.0,"1-16周,星期二第7-8节 一教425",30/1,马克思主义学院
人格塑造十五讲,GEJ013,通识选修课-社科类,中文,孙志凤,十三级制,2.0,"1-16周,星期三第5-6节 一教425",30/0,马克思主义学院
人格塑造十五讲,GEJ013,通识选修课-社科类,中文,孙志凤,十三级制,2.0,"1-16周,星期三第7-8节 一教425",30/2,马克思主义学院
人格塑造十五讲,GEJ013,通识选修课-社科类,中文,孙志凤,十三级制,2.0,"1-16周,星期四第9-10节 一教425",30/2,马克思主义学院
